,GameID,Date,Start_EST,H/A,Team,W/L,Overtime,PT_Diff,Wins,GP,PCT,Opponent,Opponent_PCT
329,330.0,2016-12-08,19:00:00,Away,Minnesota Timberwolves,0,0,-14.0,6,22,0.273,Toronto Raptors,0.682
330,331.0,2016-12-08,19:00:00,Home,Washington Wizards,1,0,7.0,8,21,0.381,Denver Nuggets,0.348
330,331.0,2016-12-08,19:00:00,Away,Denver Nuggets,0,0,-7.0,8,23,0.348,Washington Wizards,0.381
331,332.0,2016-12-08,20:00:00,Home,Memphis Grizzlies,1,0,2.0,16,24,0.667,Portland Trail Blazers,0.5
331,332.0,2016-12-08,20:00:00,Away,Portland Trail Blazers,0,0,-2.0,12,24,0.5,Memphis Grizzlies,0.667
332,333.0,2016-12-08,20:00:00,Away,Philadelphia 76ers,1,0,11.0,5,23,0.217,New Orleans Pelicans,0.304
332,333.0,2016-12-08,20:00:00,Home,New Orleans Pelicans,0,0,-11.0,7,23,0.304,Philadelphia 76ers,0.217
333,334.0,2016-12-08,21:00:00,Away,Golden State Warriors,1,0,7.0,20,23,0.87,Utah Jazz,0.583
333,334.0,2016-12-08,21:00:00,Home,Utah Jazz,0,0,-7.0,14,24,0.583,Golden State Warriors,0.87
334,335.0,2016-12-08,21:30:00,Home,Chicago Bulls,1,0,4.0,12,22,0.545,San Antonio Spurs,0.783
334,335.0,2016-12-08,21:30:00,Away,San Antonio Spurs,0,0,-4.0,18,23,0.783,Chicago Bulls,0.545
335,336.0,2016-12-09,19:00:00,Home,Charlotte Hornets,1,0,21.0,14,23,0.609,Orlando Magic,0.417
335,336.0,2016-12-09,19:00:00,Away,Orlando Magic,0,0,-21.0,10,24,0.417,Charlotte Hornets,0.609
336,337.0,2016-12-09,19:30:00,Away,Toronto Raptors,1,0,7.0,16,23,0.696,Boston Celtics,0.565
336,337.0,2016-12-09,19:30:00,Home,Boston Celtics,0,0,-7.0,13,23,0.565,Toronto Raptors,0.696
337,338.0,2016-12-09,19:30:00,Home,Cleveland Cavaliers,1,0,30.0,16,21,0.762,Miami Heat,0.304
337,338.0,2016-12-09,19:30:00,Away,Miami Heat,0,0,-30.0,7,23,0.304,Cleveland Cavaliers,0.762
338,339.0,2016-12-09,20:00:00,Away,Atlanta Hawks,1,0,4.0,12,24,0.5,Milwaukee Bucks,0.524
338,339.0,2016-12-09,20:00:00,Home,Milwaukee Bucks,0,0,-4.0,11,21,0.524,Atlanta Hawks,0.5
339,340.0,2016-12-09,20:00:00,Away,Detroit Pistons,1,0,27.0,13,25,0.52,Minnesota Timberwolves,0.261
339,340.0,2016-12-09,20:00:00,Home,Minnesota Timberwolves,0,0,-27.0,6,23,0.261,Detroit Pistons,0.52
340,341.0,2016-12-09,20:00:00,Away,Houston Rockets,1,0,3.0,16,23,0.696,Oklahoma City Thunder,0.609
340,341.0,2016-12-09,20:00:00,Home,Oklahoma City Thunder,0,0,-3.0,14,23,0.609,Houston Rockets,0.696
341,342.0,2016-12-09,20:30:00,Home,Dallas Mavericks,1,0,8.0,5,22,0.227,Indiana Pacers,0.478
341,342.0,2016-12-09,20:30:00,Away,Indiana Pacers,0,0,-8.0,11,23,0.478,Dallas Mavericks,0.227
342,343.0,2016-12-09,22:30:00,Away,Phoenix Suns,1,0,4.0,7,23,0.304,Los Angeles Lakers,0.4
342,343.0,2016-12-09,22:30:00,Home,Los Angeles Lakers,0,0,-4.0,10,25,0.4,Phoenix Suns,0.304
343,344.0,2016-12-09,22:30:00,Away,New York Knicks,1,0,3.0,13,23,0.565,Sacramento Kings,0.364
343,344.0,2016-12-09,22:30:00,Home,Sacramento Kings,0,0,-3.0,8,22,0.364,New York Knicks,0.565
344,345.0,2016-12-10,19:00:00,Home,Indiana Pacers,1,0,7.0,12,24,0.5,Portland Trail Blazers,0.48
344,345.0,2016-12-10,19:00:00,Away,Portland Trail Blazers,0,0,-7.0,12,25,0.48,Indiana Pacers,0.5
345,346.0,2016-12-10,19:00:00,Away,Denver Nuggets,1,0,8.0,9,24,0.375,Orlando Magic,0.4
345,346.0,2016-12-10,19:00:00,Home,Orlando Magic,0,0,-8.0,10,25,0.4,Denver Nuggets,0.375
346,347.0,2016-12-10,19:00:00,Home,Washington Wizards,1,0,5.0,9,22,0.409,Milwaukee Bucks,0.5
346,347.0,2016-12-10,19:00:00,Away,Milwaukee Bucks,0,0,-5.0,11,22,0.5,Washington Wizards,0.409
347,348.0,2016-12-10,19:30:00,Home,Cleveland Cavaliers,1,0,11.0,17,22,0.773,Charlotte Hornets,0.583
347,348.0,2016-12-10,19:30:00,Away,Charlotte Hornets,0,0,-11.0,14,24,0.583,Cleveland Cavaliers,0.773
348,349.0,2016-12-10,20:00:00,Home,Chicago Bulls,1,0,5.0,13,23,0.565,Miami Heat,0.292
348,349.0,2016-12-10,20:00:00,Away,Miami Heat,0,0,-5.0,7,24,0.292,Chicago Bulls,0.565
349,350.0,2016-12-10,20:00:00,Home,Houston Rockets,1,0,22.0,17,24,0.708,Dallas Mavericks,0.217
349,350.0,2016-12-10,20:00:00,Away,Dallas Mavericks,0,0,-22.0,5,23,0.217,Houston Rockets,0.708
350,351.0,2016-12-10,20:00:00,Home,Memphis Grizzlies,1,0,21.0,17,25,0.68,Golden State Warriors,0.833
350,351.0,2016-12-10,20:00:00,Away,Golden State Warriors,0,0,-21.0,20,24,0.833,Memphis Grizzlies,0.68
351,352.0,2016-12-10,20:30:00,Home,San Antonio Spurs,1,0,29.0,19,24,0.792,Brooklyn Nets,0.273
351,352.0,2016-12-10,20:30:00,Away,Brooklyn Nets,0,0,-29.0,6,22,0.273,San Antonio Spurs,0.792
352,353.0,2016-12-10,21:00:00,Home,Utah Jazz,1,0,20.0,15,25,0.6,Sacramento Kings,0.348
352,353.0,2016-12-10,21:00:00,Away,Sacramento Kings,0,0,-20.0,8,23,0.348,Utah Jazz,0.6
353,354.0,2016-12-10,22:30:00,Home,Los Angeles Clippers,1,0,28.0,17,24,0.708,New Orleans Pelicans,0.292
353,354.0,2016-12-10,22:30:00,Away,New Orleans Pelicans,0,0,-28.0,7,24,0.292,Los Angeles Clippers,0.708
354,355.0,2016-12-11,18:00:00,Away,Philadelphia 76ers,1,0,18.0,6,24,0.25,Detroit Pistons,0.5
354,355.0,2016-12-11,18:00:00,Home,Detroit Pistons,0,0,-18.0,13,26,0.5,Philadelphia 76ers,0.25
355,356.0,2016-12-11,19:00:00,Away,Golden State Warriors,1,0,8.0,21,25,0.84,Minnesota Timberwolves,0.25
355,356.0,2016-12-11,19:00:00,Home,Minnesota Timberwolves,0,0,-8.0,6,24,0.25,Golden State Warriors,0.84
356,357.0,2016-12-11,19:00:00,Home,Oklahoma City Thunder,1,0,3.0,15,24,0.625,Boston Celtics,0.542
356,357.0,2016-12-11,19:00:00,Away,Boston Celtics,0,0,-3.0,13,24,0.542,Oklahoma City Thunder,0.625
357,358.0,2016-12-11,20:30:00,Away,New Orleans Pelicans,1,1,1.0,8,25,0.32,Phoenix Suns,0.292
357,358.0,2016-12-11,20:30:00,Home,Phoenix Suns,0,1,-1.0,7,24,0.292,New Orleans Pelicans,0.32
358,359.0,2016-12-11,21:30:00,Away,New York Knicks,1,0,6.0,14,24,0.583,Los Angeles Lakers,0.385
358,359.0,2016-12-11,21:30:00,Home,Los Angeles Lakers,0,0,-6.0,10,26,0.385,New York Knicks,0.583
359,360.0,2016-12-12,19:00:00,Home,Indiana Pacers,1,0,16.0,13,25,0.52,Charlotte Hornets,0.56
359,360.0,2016-12-12,19:00:00,Away,Charlotte Hornets,0,0,-16.0,14,25,0.56,Indiana Pacers,0.52
360,361.0,2016-12-12,19:30:00,Home,Miami Heat,1,0,11.0,8,25,0.32,Washington Wizards,0.391
360,361.0,2016-12-12,19:30:00,Away,Washington Wizards,0,0,-11.0,9,23,0.391,Miami Heat,0.32
361,362.0,2016-12-12,19:30:00,Home,Toronto Raptors,1,0,22.0,17,24,0.708,Milwaukee Bucks,0.478
361,362.0,2016-12-12,19:30:00,Away,Milwaukee Bucks,0,0,-22.0,11,23,0.478,Toronto Raptors,0.708
362,363.0,2016-12-12,20:00:00,Home,Houston Rockets,1,0,4.0,18,25,0.72,Brooklyn Nets,0.261
362,363.0,2016-12-12,20:00:00,Away,Brooklyn Nets,0,0,-4.0,6,23,0.261,Houston Rockets,0.72
363,364.0,2016-12-12,20:30:00,Home,Dallas Mavericks,1,0,20.0,6,24,0.25,Denver Nuggets,0.36
363,364.0,2016-12-12,20:30:00,Away,Denver Nuggets,0,0,-20.0,9,25,0.36,Dallas Mavericks,0.25
364,365.0,2016-12-12,22:30:00,Home,Los Angeles Clippers,1,0,1.0,18,25,0.72,Portland Trail Blazers,0.462
364,365.0,2016-12-12,22:30:00,Away,Portland Trail Blazers,0,0,-1.0,12,26,0.462,Los Angeles Clippers,0.72
365,366.0,2016-12-12,22:30:00,Home,Sacramento Kings,1,0,24.0,9,24,0.375,Los Angeles Lakers,0.37
365,366.0,2016-12-12,22:30:00,Away,Los Angeles Lakers,0,0,-24.0,10,27,0.37,Sacramento Kings,0.375
366,367.0,2016-12-13,19:00:00,Home,Cleveland Cavaliers,1,0,17.0,18,23,0.783,Memphis Grizzlies,0.654
366,367.0,2016-12-13,19:00:00,Away,Memphis Grizzlies,0,0,-17.0,17,26,0.654,Cleveland Cavaliers,0.783
367,368.0,2016-12-13,19:30:00,Away,Orlando Magic,1,0,11.0,11,26,0.423,Atlanta Hawks,0.48
367,368.0,2016-12-13,19:30:00,Home,Atlanta Hawks,0,0,-11.0,12,25,0.48,Orlando Magic,0.423
368,369.0,2016-12-13,20:00:00,Away,Minnesota Timberwolves,1,0,5.0,7,25,0.28,Chicago Bulls,0.542
368,369.0,2016-12-13,20:00:00,Home,Chicago Bulls,0,0,-5.0,13,24,0.542,Minnesota Timberwolves,0.28
369,370.0,2016-12-13,20:00:00,Away,Golden State Warriors,1,0,4.0,22,26,0.846,New Orleans Pelicans,0.308
369,370.0,2016-12-13,20:00:00,Home,New Orleans Pelicans,0,0,-4.0,8,26,0.308,Golden State Warriors,0.846
370,371.0,2016-12-13,21:00:00,Home,Phoenix Suns,1,1,2.0,8,25,0.32,New York Knicks,0.56
370,371.0,2016-12-13,21:00:00,Away,New York Knicks,0,1,-2.0,14,25,0.56,Phoenix Suns,0.32
371,372.0,2016-12-13,22:30:00,Home,Portland Trail Blazers,1,0,19.0,13,27,0.481,Oklahoma City Thunder,0.6
371,372.0,2016-12-13,22:30:00,Away,Oklahoma City Thunder,0,0,-19.0,15,25,0.6,Portland Trail Blazers,0.481
372,373.0,2016-12-14,19:00:00,Home,Miami Heat,1,0,6.0,9,26,0.346,Indiana Pacers,0.5
372,373.0,2016-12-14,19:00:00,Away,Indiana Pacers,0,0,-6.0,13,26,0.5,Miami Heat,0.346
373,374.0,2016-12-14,19:00:00,Away,Los Angeles Clippers,1,0,5.0,19,26,0.731,Orlando Magic,0.407
373,374.0,2016-12-14,19:00:00,Home,Orlando Magic,0,0,-5.0,11,27,0.407,Los Angeles Clippers,0.731
374,375.0,2016-12-14,19:00:00,Away,Toronto Raptors,1,0,9.0,18,25,0.72,Philadelphia 76ers,0.24
374,375.0,2016-12-14,19:00:00,Home,Philadelphia 76ers,0,0,-9.0,6,25,0.24,Toronto Raptors,0.72
375,376.0,2016-12-14,19:00:00,Home,Washington Wizards,1,0,3.0,10,24,0.417,Charlotte Hornets,0.538
375,376.0,2016-12-14,19:00:00,Away,Charlotte Hornets,0,0,-3.0,14,26,0.538,Washington Wizards,0.417
376,377.0,2016-12-14,19:30:00,Home,Brooklyn Nets,1,0,10.0,7,24,0.292,Los Angeles Lakers,0.357
376,377.0,2016-12-14,19:30:00,Away,Los Angeles Lakers,0,0,-10.0,10,28,0.357,Brooklyn Nets,0.292
377,378.0,2016-12-14,20:00:00,Home,Houston Rockets,1,0,34.0,19,26,0.731,Sacramento Kings,0.36
377,378.0,2016-12-14,20:00:00,Away,Sacramento Kings,0,0,-34.0,9,25,0.36,Houston Rockets,0.731
378,379.0,2016-12-14,20:00:00,Home,Memphis Grizzlies,1,0,8.0,18,27,0.667,Cleveland Cavaliers,0.75
378,379.0,2016-12-14,20:00:00,Away,Cleveland Cavaliers,0,0,-8.0,18,24,0.75,Memphis Grizzlies,0.667
379,380.0,2016-12-14,20:30:00,Away,Detroit Pistons,1,0,10.0,14,27,0.519,Dallas Mavericks,0.24
379,380.0,2016-12-14,20:30:00,Home,Dallas Mavericks,0,0,-10.0,6,25,0.24,Detroit Pistons,0.519
380,381.0,2016-12-14,21:00:00,Home,Utah Jazz,1,0,20.0,16,26,0.615,Oklahoma City Thunder,0.577
380,381.0,2016-12-14,21:00:00,Away,Oklahoma City Thunder,0,0,-20.0,15,26,0.577,Utah Jazz,0.615
381,382.0,2016-12-14,21:30:00,Home,San Antonio Spurs,1,0,7.0,20,25,0.8,Boston Celtics,0.52
381,382.0,2016-12-14,21:30:00,Away,Boston Celtics,0,0,-7.0,13,25,0.52,San Antonio Spurs,0.8
382,383.0,2016-12-15,20:00:00,Home,Milwaukee Bucks,1,0,11.0,12,24,0.5,Chicago Bulls,0.52
382,383.0,2016-12-15,20:00:00,Away,Chicago Bulls,0,0,-11.0,13,25,0.52,Milwaukee Bucks,0.5
383,384.0,2016-12-15,20:00:00,Home,New Orleans Pelicans,1,0,7.0,9,27,0.333,Indiana Pacers,0.481
383,384.0,2016-12-15,20:00:00,Away,Indiana Pacers,0,0,-7.0,13,27,0.481,New Orleans Pelicans,0.333
384,385.0,2016-12-15,21:00:00,Home,Denver Nuggets,1,0,12.0,10,26,0.385,Portland Trail Blazers,0.464
384,385.0,2016-12-15,21:00:00,Away,Portland Trail Blazers,0,0,-12.0,13,28,0.464,Denver Nuggets,0.385
385,386.0,2016-12-15,21:00:00,Away,San Antonio Spurs,1,0,15.0,21,26,0.808,Phoenix Suns,0.308
385,386.0,2016-12-15,21:00:00,Home,Phoenix Suns,0,0,-15.0,8,26,0.308,San Antonio Spurs,0.808
386,387.0,2016-12-15,22:30:00,Home,Golden State Warriors,1,0,13.0,23,27,0.852,New York Knicks,0.538
386,387.0,2016-12-15,22:30:00,Away,New York Knicks,0,0,-13.0,14,26,0.538,Golden State Warriors,0.852
387,388.0,2016-12-16,19:00:00,Home,Orlando Magic,1,0,7.0,12,28,0.429,Brooklyn Nets,0.28
387,388.0,2016-12-16,19:00:00,Away,Brooklyn Nets,0,0,-7.0,7,25,0.28,Orlando Magic,0.429
388,389.0,2016-12-16,19:00:00,Home,Washington Wizards,1,0,14.0,11,25,0.44,Detroit Pistons,0.5
388,389.0,2016-12-16,19:00:00,Away,Detroit Pistons,0,0,-14.0,14,28,0.5,Washington Wizards,0.44
389,390.0,2016-12-16,19:30:00,Home,Boston Celtics,1,0,8.0,14,26,0.538,Charlotte Hornets,0.519
389,390.0,2016-12-16,19:30:00,Away,Charlotte Hornets,0,0,-8.0,14,27,0.519,Boston Celtics,0.538
390,391.0,2016-12-16,19:30:00,Away,Atlanta Hawks,1,0,4.0,13,26,0.5,Toronto Raptors,0.692
390,391.0,2016-12-16,19:30:00,Home,Toronto Raptors,0,0,-4.0,18,26,0.692,Atlanta Hawks,0.5
391,392.0,2016-12-16,20:00:00,Away,Milwaukee Bucks,1,0,26.0,13,25,0.52,Chicago Bulls,0.5
391,392.0,2016-12-16,20:00:00,Home,Chicago Bulls,0,0,-26.0,13,26,0.5,Milwaukee Bucks,0.52
392,393.0,2016-12-16,20:00:00,Home,Houston Rockets,1,0,22.0,20,27,0.741,New Orleans Pelicans,0.321
392,393.0,2016-12-16,20:00:00,Away,New Orleans Pelicans,0,0,-22.0,9,28,0.321,Houston Rockets,0.741
393,394.0,2016-12-16,20:00:00,Away,Sacramento Kings,1,0,4.0,10,26,0.385,Memphis Grizzlies,0.643
393,394.0,2016-12-16,20:00:00,Home,Memphis Grizzlies,0,0,-4.0,18,28,0.643,Sacramento Kings,0.385
394,395.0,2016-12-16,20:00:00,Away,Los Angeles Clippers,1,0,4.0,20,27,0.741,Miami Heat,0.333
394,395.0,2016-12-16,20:00:00,Home,Miami Heat,0,0,-4.0,9,27,0.333,Los Angeles Clippers,0.741
395,396.0,2016-12-16,20:00:00,Away,Los Angeles Lakers,1,0,11.0,11,29,0.379,Philadelphia 76ers,0.231
395,396.0,2016-12-16,20:00:00,Home,Philadelphia 76ers,0,0,-11.0,6,26,0.231,Los Angeles Lakers,0.379
396,397.0,2016-12-16,22:30:00,Home,Utah Jazz,1,0,3.0,17,27,0.63,Dallas Mavericks,0.231
396,397.0,2016-12-16,22:30:00,Away,Dallas Mavericks,0,0,-3.0,6,26,0.231,Utah Jazz,0.63
397,398.0,2016-12-17,17:00:00,Home,Oklahoma City Thunder,1,0,13.0,16,27,0.593,Phoenix Suns,0.296
397,398.0,2016-12-17,17:00:00,Away,Phoenix Suns,0,0,-13.0,8,27,0.296,Oklahoma City Thunder,0.593
398,399.0,2016-12-17,19:00:00,Away,Indiana Pacers,1,0,15.0,14,28,0.5,Detroit Pistons,0.483
398,399.0,2016-12-17,19:00:00,Home,Detroit Pistons,0,0,-15.0,14,29,0.483,Indiana Pacers,0.5
399,400.0,2016-12-17,19:30:00,Away,Charlotte Hornets,1,0,8.0,15,28,0.536,Atlanta Hawks,0.481
399,400.0,2016-12-17,19:30:00,Home,Atlanta Hawks,0,0,-8.0,13,27,0.481,Charlotte Hornets,0.536
400,401.0,2016-12-17,19:30:00,Home,Cleveland Cavaliers,1,0,11.0,19,25,0.76,Los Angeles Lakers,0.367
400,401.0,2016-12-17,19:30:00,Away,Los Angeles Lakers,0,0,-11.0,11,30,0.367,Cleveland Cavaliers,0.76
401,402.0,2016-12-17,20:00:00,Away,Houston Rockets,1,1,2.0,21,28,0.75,Minnesota Timberwolves,0.269
401,402.0,2016-12-17,20:00:00,Home,Minnesota Timberwolves,0,1,-2.0,7,26,0.269,Houston Rockets,0.75
402,403.0,2016-12-17,21:00:00,Home,Denver Nuggets,1,0,13.0,11,27,0.407,New York Knicks,0.519
402,403.0,2016-12-17,21:00:00,Away,New York Knicks,0,0,-13.0,14,27,0.519,Denver Nuggets,0.407
403,404.0,2016-12-17,22:30:00,Home,Golden State Warriors,1,0,45.0,24,28,0.857,Portland Trail Blazers,0.448
403,404.0,2016-12-17,22:30:00,Away,Portland Trail Blazers,0,0,-45.0,13,29,0.448,Golden State Warriors,0.857
404,405.0,2016-12-18,15:30:00,Home,Washington Wizards,1,0,7.0,12,26,0.462,Los Angeles Clippers,0.714
404,405.0,2016-12-18,15:30:00,Away,Los Angeles Clippers,0,0,-7.0,20,28,0.714,Washington Wizards,0.462
405,406.0,2016-12-18,16:00:00,Home,Dallas Mavericks,1,0,20.0,7,27,0.259,Sacramento Kings,0.37
405,406.0,2016-12-18,16:00:00,Away,Sacramento Kings,0,0,-20.0,10,27,0.37,Dallas Mavericks,0.259
406,407.0,2016-12-18,18:00:00,Away,Utah Jazz,1,0,9.0,18,28,0.643,Memphis Grizzlies,0.621
406,407.0,2016-12-18,18:00:00,Home,Memphis Grizzlies,0,0,-9.0,18,29,0.621,Utah Jazz,0.643
407,408.0,2016-12-18,18:00:00,Away,Boston Celtics,1,0,10.0,15,27,0.556,Miami Heat,0.321
407,408.0,2016-12-18,18:00:00,Home,Miami Heat,0,0,-10.0,9,28,0.321,Boston Celtics,0.556
408,409.0,2016-12-18,18:00:00,Away,Toronto Raptors,1,0,30.0,19,27,0.704,Orlando Magic,0.414
408,409.0,2016-12-18,18:00:00,Home,Orlando Magic,0,0,-30.0,12,29,0.414,Toronto Raptors,0.704
409,410.0,2016-12-18,18:00:00,Home,Philadelphia 76ers,1,0,1.0,7,27,0.259,Brooklyn Nets,0.269
409,410.0,2016-12-18,18:00:00,Away,Brooklyn Nets,0,0,-1.0,7,26,0.269,Philadelphia 76ers,0.259
410,411.0,2016-12-18,19:00:00,Home,San Antonio Spurs,1,0,13.0,22,27,0.815,New Orleans Pelicans,0.31
410,411.0,2016-12-18,19:00:00,Away,New Orleans Pelicans,0,0,-13.0,9,29,0.31,San Antonio Spurs,0.815
411,412.0,2016-12-19,19:00:00,Home,Indiana Pacers,1,0,2.0,15,29,0.517,Washington Wizards,0.444
411,412.0,2016-12-19,19:00:00,Away,Washington Wizards,0,0,-2.0,12,27,0.444,Indiana Pacers,0.517
412,413.0,2016-12-19,20:00:00,Home,Chicago Bulls,1,0,31.0,14,27,0.519,Detroit Pistons,0.467
412,413.0,2016-12-19,20:00:00,Away,Detroit Pistons,0,0,-31.0,14,30,0.467,Chicago Bulls,0.519
413,414.0,2016-12-19,20:00:00,Home,Minnesota Timberwolves,1,0,7.0,8,27,0.296,Phoenix Suns,0.286
413,414.0,2016-12-19,20:00:00,Away,Phoenix Suns,0,0,-7.0,8,28,0.286,Minnesota Timberwolves,0.296
414,415.0,2016-12-19,20:00:00,Away,Atlanta Hawks,1,0,2.0,14,28,0.5,Oklahoma City Thunder,0.571
414,415.0,2016-12-19,20:00:00,Home,Oklahoma City Thunder,0,0,-2.0,16,28,0.571,Atlanta Hawks,0.5
415,416.0,2016-12-19,21:00:00,Home,Denver Nuggets,1,0,10.0,12,28,0.429,Dallas Mavericks,0.25
415,416.0,2016-12-19,21:00:00,Away,Dallas Mavericks,0,0,-10.0,7,28,0.25,Denver Nuggets,0.429
416,417.0,2016-12-20,19:00:00,Home,Charlotte Hornets,1,0,4.0,16,29,0.552,Los Angeles Lakers,0.355
416,417.0,2016-12-20,19:00:00,Away,Los Angeles Lakers,0,0,-4.0,11,31,0.355,Charlotte Hornets,0.552
417,418.0,2016-12-20,19:00:00,Away,New Orleans Pelicans,1,0,15.0,10,30,0.333,Philadelphia 76ers,0.25
417,418.0,2016-12-20,19:00:00,Home,Philadelphia 76ers,0,0,-15.0,7,28,0.25,New Orleans Pelicans,0.333
418,419.0,2016-12-20,19:30:00,Away,Orlando Magic,1,2OT,6.0,13,30,0.433,Miami Heat,0.31
418,419.0,2016-12-20,19:30:00,Home,Miami Heat,0,2OT,-6.0,9,29,0.31,Orlando Magic,0.433
419,420.0,2016-12-20,19:30:00,Home,New York Knicks,1,0,7.0,15,28,0.536,Indiana Pacers,0.5
419,420.0,2016-12-20,19:30:00,Away,Indiana Pacers,0,0,-7.0,15,30,0.5,New York Knicks,0.536
420,421.0,2016-12-20,19:30:00,Home,Toronto Raptors,1,0,12.0,20,28,0.714,Brooklyn Nets,0.259
420,421.0,2016-12-20,19:30:00,Away,Brooklyn Nets,0,0,-12.0,7,27,0.259,Toronto Raptors,0.714
421,422.0,2016-12-20,20:00:00,Away,San Antonio Spurs,1,0,2.0,23,28,0.821,Houston Rockets,0.724
421,422.0,2016-12-20,20:00:00,Home,Houston Rockets,0,0,-2.0,21,29,0.724,San Antonio Spurs,0.821
422,423.0,2016-12-20,20:00:00,Away,Boston Celtics,1,1,3.0,16,28,0.571,Memphis Grizzlies,0.6
422,423.0,2016-12-20,20:00:00,Home,Memphis Grizzlies,0,1,-3.0,18,30,0.6,Boston Celtics,0.571
423,424.0,2016-12-20,20:00:00,Away,Cleveland Cavaliers,1,1,6.0,20,26,0.769,Milwaukee Bucks,0.5
423,424.0,2016-12-20,20:00:00,Home,Milwaukee Bucks,0,1,-6.0,13,26,0.5,Cleveland Cavaliers,0.769
424,425.0,2016-12-20,22:30:00,Home,Golden State Warriors,1,0,30.0,25,29,0.862,Utah Jazz,0.621
424,425.0,2016-12-20,22:30:00,Away,Utah Jazz,0,0,-30.0,18,29,0.621,Golden State Warriors,0.862
425,426.0,2016-12-20,22:30:00,Home,Los Angeles Clippers,1,0,17.0,21,29,0.724,Denver Nuggets,0.414
425,426.0,2016-12-20,22:30:00,Away,Denver Nuggets,0,0,-17.0,12,29,0.414,Los Angeles Clippers,0.724
426,427.0,2016-12-20,22:30:00,Home,Sacramento Kings,1,0,5.0,11,28,0.393,Portland Trail Blazers,0.433
426,427.0,2016-12-20,22:30:00,Away,Portland Trail Blazers,0,0,-5.0,13,30,0.433,Sacramento Kings,0.393
427,428.0,2016-12-21,19:00:00,Home,Cleveland Cavaliers,1,0,11.0,21,27,0.778,Milwaukee Bucks,0.481
427,428.0,2016-12-21,19:00:00,Away,Milwaukee Bucks,0,0,-11.0,13,27,0.481,Cleveland Cavaliers,0.778
428,429.0,2016-12-21,19:30:00,Away,Minnesota Timberwolves,1,0,8.0,9,28,0.321,Atlanta Hawks,0.483
428,429.0,2016-12-21,19:30:00,Home,Atlanta Hawks,0,0,-8.0,14,29,0.483,Minnesota Timberwolves,0.321
429,430.0,2016-12-21,19:30:00,Away,Memphis Grizzlies,1,0,12.0,19,31,0.613,Detroit Pistons,0.452
429,430.0,2016-12-21,19:30:00,Home,Detroit Pistons,0,0,-12.0,14,31,0.452,Memphis Grizzlies,0.613
430,431.0,2016-12-21,20:00:00,Away,Washington Wizards,1,0,10.0,13,28,0.464,Chicago Bulls,0.5
430,431.0,2016-12-21,20:00:00,Home,Chicago Bulls,0,0,-10.0,14,28,0.5,Washington Wizards,0.464
431,432.0,2016-12-21,20:00:00,Away,Oklahoma City Thunder,1,0,11.0,17,29,0.586,New Orleans Pelicans,0.323
431,432.0,2016-12-21,20:00:00,Home,New Orleans Pelicans,0,0,-11.0,10,31,0.323,Oklahoma City Thunder,0.586
432,433.0,2016-12-21,21:00:00,Away,Houston Rockets,1,0,14.0,22,30,0.733,Phoenix Suns,0.276
432,433.0,2016-12-21,21:00:00,Home,Phoenix Suns,0,0,-14.0,8,29,0.276,Houston Rockets,0.733
433,434.0,2016-12-21,21:00:00,Away,Sacramento Kings,1,0,1.0,12,29,0.414,Utah Jazz,0.6
433,434.0,2016-12-21,21:00:00,Home,Utah Jazz,0,0,-1.0,18,30,0.6,Sacramento Kings,0.414
434,435.0,2016-12-21,22:00:00,Away,Dallas Mavericks,1,0,1.0,8,29,0.276,Portland Trail Blazers,0.419
434,435.0,2016-12-21,22:00:00,Home,Portland Trail Blazers,0,0,-1.0,13,31,0.419,Dallas Mavericks,0.276
435,436.0,2016-12-22,19:00:00,Away,Boston Celtics,1,0,7.0,17,29,0.586,Indiana Pacers,0.484
435,436.0,2016-12-22,19:00:00,Home,Indiana Pacers,0,0,-7.0,15,31,0.484,Boston Celtics,0.586
436,437.0,2016-12-22,19:30:00,Away,Golden State Warriors,1,0,16.0,26,30,0.867,Brooklyn Nets,0.25
436,437.0,2016-12-22,19:30:00,Home,Brooklyn Nets,0,0,-16.0,7,28,0.25,Golden State Warriors,0.867
437,438.0,2016-12-22,19:30:00,Home,New York Knicks,1,0,11.0,16,29,0.552,Orlando Magic,0.419
437,438.0,2016-12-22,19:30:00,Away,Orlando Magic,0,0,-11.0,13,31,0.419,New York Knicks,0.552
438,439.0,2016-12-22,20:00:00,Home,Miami Heat,1,0,8.0,10,30,0.333,Los Angeles Lakers,0.344
438,439.0,2016-12-22,20:00:00,Away,Los Angeles Lakers,0,0,-8.0,11,32,0.344,Miami Heat,0.333
439,440.0,2016-12-22,22:30:00,Home,Los Angeles Clippers,1,0,5.0,22,30,0.733,San Antonio Spurs,0.793
439,440.0,2016-12-22,22:30:00,Away,San Antonio Spurs,0,0,-5.0,23,29,0.793,Los Angeles Clippers,0.733
440,441.0,2016-12-23,19:00:00,Home,Charlotte Hornets,1,0,12.0,17,30,0.567,Chicago Bulls,0.483
440,441.0,2016-12-23,19:00:00,Away,Chicago Bulls,0,0,-12.0,14,29,0.483,Charlotte Hornets,0.567
441,442.0,2016-12-23,19:00:00,Home,Orlando Magic,1,0,19.0,14,32,0.438,Los Angeles Lakers,0.333
441,442.0,2016-12-23,19:00:00,Away,Los Angeles Lakers,0,0,-19.0,11,33,0.333,Orlando Magic,0.438
